chave,fitid,data,descricao,valor,tipo,parcela
69e25013-849d-4831-aa8a-904bb9c27fec:-52.2,69e25013-849d-4831-aa8a-904bb9c27fec,2026-07-27,Paccoby - Parcela 5/5,"-52,2",DEBIT,5/5
69a8cde4-1dd7-4cd7-b601-1346c6b9e103:-54.99,69a8cde4-1dd7-4cd7-b601-1346c6b9e103,2026-07-27,Amazon - Parcela 6/6,"-54,99",DEBIT,6/6
6a661d6c-c4f2-46c9-af43-2f822dcd8b91:-54.9,6a661d6c-c4f2-46c9-af43-2f822dcd8b91,2026-07-27,Spazio Brooklin,"-54,9",DEBIT,
69f8eb7f-7d3b-4f95-8b08-3908945401f4:-73.53,69f8eb7f-7d3b-4f95-8b08-3908945401f4,2026-07-27,Pichau Informatica - NuPay - Parcela 4/12,"-73,53",DEBIT,4/12
6a6667a9-4a66-4774-8355-5df415676ea4:-17.9,6a6667a9-4a66-4774-8355-5df415676ea4,2026-07-27,Mp *Doceperfeitol,"-17,9",DEBIT,
6a7b6688-ada9-4b4a-ab38-1644d41ddc95:-40,6a7b6688-ada9-4b4a-ab38-1644d41ddc95,2026-08-12,Gil Assistencia Tecn,-40,DEBIT,
6a7b3d06-03e5-496a-a7e4-fe1a8fe2a73d:-50,6a7b3d06-03e5-496a-a7e4-fe1a8fe2a73d,2026-08-12,Oengenheiro,-50,DEBIT,
6a7bff80-5799-4641-ba9f-366c676b2663:-222.39,6a7bff80-5799-4641-ba9f-366c676b2663,2026-08-12,Allianz Segu*07 de,"-222,39",DEBIT,
6a79f12e-ca1a-47af-9f97-ab7b7b72f31d:-59.8,6a79f12e-ca1a-47af-9f97-ab7b7b72f31d,2026-08-11,Trentino,"-59,8",DEBIT,
6a78d92f-17ba-4e2e-8f28-1d0f9170bfc5:-56,6a78d92f-17ba-4e2e-8f28-1d0f9170bfc5,2026-08-10,Spiagia Ind Com Imp e,-56,DEBIT,
