ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
MSFT,2026-03-12,IMPOSTO,mar/26,2026,IMPOSTO,Ação Internacional,"-1,37",USD
NTN-B,2025-11-17,Dividendo,nov/25,2025,JUROS RENDA FIXA,Renda Fixa,"269,72",BRL
NTN-B,2025-05-15,Dividendo,mai/25,2025,JUROS RENDA FIXA,Renda Fixa,"-46,63",BRL
NTN-B,2025-05-15,Dividendo,mai/25,2025,JUROS RENDA FIXA,Renda Fixa,"266,46",BRL
NTN-B,2024-11-18,DIvidendo,nov/24,2024,JUROS RENDA FIXA,Renda Fixa,"257,66",BRL
NTN-B,2024-05-15,Dividendo,mai/24,2024,JUROS RENDA FIXA,Renda Fixa,"252,49",BRL
NTN-B,2026-05-15,Dividendo,jun./27,2026,JUROS RENDA FIXA,Renda Fixa,"278,16",BRL
NTN-B,2026-05-15,IMPOSTO,jun./27,2026,IMPOSTO,Renda Fixa,"41,72",BRL
MSFT,2025-12-11,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"0,27",USD
MSFT,2025-12-11,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"0,91",USD
MSFT,2025-09-11,IMPOSTO,set/25,2025,IMPOSTO,Ação Internacional,"-0,25",USD
MSFT,2025-09-11,DIvidendo,set/25,2025,DIvidendo,Ação Internacional,"0,83",USD
MSFT,2025-06-12,IMPOSTO,jun/25,2025,IMPOSTO,Ação Internacional,"-0,25",USD
MSFT,2025-06-12,DIvidendo,jun/25,2025,DIvidendo,Ação Internacional,"0,83",USD
MSFT,2025-03-13,DIvidendo,mar/25,2025,DIvidendo,Ação Internacional,"0,83",USD
MSFT,2025-03-13,IMPOSTO,mar/25,2025,IMPOSTO,Ação Internacional,"-0,25",USD
MSFT,2024-12-12,DIvidendo,dez/24,2024,DIvidendo,Ação Internacional,"0,83",USD
MSFT,2024-12-12,IMPOSTO,dez/24,2024,IMPOSTO,Ação Internacional,"-0,25",USD
MSFT,2024-09-12,DIvidendo,set/24,2024,DIvidendo,Ação Internacional,"0,75",USD
MSFT,2024-09-12,IMPOSTO,set/24,2024,IMPOSTO,Ação Internacional,"-0,23",USD
MSFT,2024-06-13,IMPOSTO,jun/24,2024,IMPOSTO,Ação Internacional,"-0,23",USD
MSFT,2024-06-13,DIvidendo,jun/24,2024,DIvidendo,Ação Internacional,"0,75",USD
MSFT,2026-06-11,IMPOSTO,jun./26,2026,IMPOSTO,Ação Internacional,"1,37",USD
MSFT,2026-06-11,Dividendo,jun./26,2026,Dividendo,Ação Internacional,"4,55",USD
NVDA,2026-04-01,IMPOSTO,abr/26,2026,IMPOSTO,Ação Internacional,"-0,05",USD
NVDA,2026-04-01,Dividendo,abr/26,2026,Dividendo,Ação Internacional,"0,17",USD
NVDA,2025-12-26,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"0,17",USD
NVDA,2025-12-26,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,05",USD
NVDA,2025-10-02,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-0,05",USD
NVDA,2025-10-02,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"0,17",USD
NVDA,2025-07-03,IMPOSTO,jul/25,2025,IMPOSTO,Ação Internacional,"-0,05",USD
NVDA,2025-07-03,Dividendo,jul/25,2025,DIvidendo,Ação Internacional,"0,17",USD
NVDA,2025-04-02,IMPOSTO,abr/25,2025,IMPOSTO,Ação Internacional,"-0,02",USD
NVDA,2025-04-02,Dividendo,abr/25,2025,DIvidendo,Ação Internacional,"0,06",USD
NVDA,2026-06-26,Dividendo,jun./26,2026,Dividendo,Ação Internacional,"4,25",USD
NVDA,2026-06-26,IMPOSTO,jun./26,2026,IMPOSTO,Ação Internacional,"1,28",USD
QQQ,2026-03-27,Dividendo,mar/26,2026,Dividendo,Ação Internacional,"0,73",USD
QQQ,2026-03-27,IMPOSTO,mar/26,2026,IMPOSTO,Ação Internacional,"-0,22",USD
QQQ,2025-12-31,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,24",USD
QQQ,2025-12-31,Dividendo,dez/25,2025,Dividendo,Ação Internacional,"0,79",USD
QQQ,2025-10-31,Dividendo,out/25,2025,DIvidendo,Ação Internacional,"0,69",USD
QQQ,2025-10-31,IMPOSTO,out/25,2025,IMPOSTO,Ação Internacional,"-0,21",USD
QQQ,2025-07-31,IMPOSTO,jul/25,2025,IMPOSTO,Ação Internacional,"-0,18",USD
QQQ,2025-07-31,Dividendo,jul/25,2025,DIvidendo,Ação Internacional,"0,59",USD
QQQ,2025-04-30,IMPOSTO,abr/25,2025,IMPOSTO,Ação Internacional,"-0,22",USD
QQQ,2025-04-30,Dividendo,abr/25,2025,DIvidendo,Ação Internacional,"0,72",USD
TAEE11.SA,2025-01-29,DIvidendo,jan/25,2025,JUROS S/ CAPITAL,Ação,34,BRL
TAEE11.SA,2025-01-29,DIvidendo,jan/25,2025,DIvidendo,Ação,"26,9",BRL
TAEE11.SA,2024-11-27,DIvidendo,nov/24,2024,DIvidendo,Ação,"30,5",BRL
TAEE11.SA,2024-11-27,DIvidendo,nov/24,2024,JUROS S/ CAPITAL,Ação,"29,16",BRL
